solver,alpha,layers,state,accuracy,precision,recall,f1_score,roc_auc_score,augmentation
lbfgs,0.5,300,0,0.8760330578512396,0.8867924528301887,0.8392857142857143,0.8623853211009174,0.8734890109890109,seed0_augmentation1.015.csv
lbfgs,0.5,350,0,0.8842975206611571,0.903846153846154,0.8392857142857143,0.8703703703703703,0.8811813186813188,seed0_augmentation1.015.csv
lbfgs,0.5,400,0,0.8760330578512396,0.8867924528301887,0.8392857142857143,0.8623853211009174,0.8734890109890109,seed0_augmentation1.015.csv
lbfgs,0.5,450,0,0.8760330578512396,0.8867924528301887,0.8392857142857143,0.8623853211009174,0.8734890109890109,seed0_augmentation1.015.csv
lbfgs,0.5,500,0,0.8842975206611571,0.903846153846154,0.8392857142857143,0.8703703703703703,0.8811813186813188,seed0_augmentation1.015.csv
lbfgs,0.5,"(50, 5)",0,0.8842975206611571,0.8888888888888888,0.8571428571428571,0.8727272727272727,0.8824175824175824,seed0_augmentation1.015.csv
lbfgs,0.5,"(50, 10)",0,0.8760330578512396,0.9019607843137256,0.8214285714285714,0.8598130841121495,0.8722527472527473,seed0_augmentation1.015.csv
lbfgs,0.5,"(50, 20)",0,0.8677685950413223,0.9,0.8035714285714286,0.8490566037735849,0.8633241758241759,seed0_augmentation1.015.csv
lbfgs,0.5,"(50, 50)",0,0.8677685950413223,0.9,0.8035714285714286,0.8490566037735849,0.8633241758241759,seed0_augmentation1.015.csv
lbfgs,0.5,"(100, 5)",0,0.8677685950413223,0.8846153846153846,0.8214285714285714,0.8518518518518519,0.8645604395604395,seed0_augmentation1.015.csv
lbfgs,0.5,"(100, 10)",0,0.8760330578512396,0.9019607843137256,0.8214285714285714,0.8598130841121495,0.8722527472527473,seed0_augmentation1.015.csv
lbfgs,0.5,"(100, 20)",0,0.8760330578512396,0.9183673469387756,0.8035714285714286,0.8571428571428571,0.8710164835164835,seed0_augmentation1.015.csv
lbfgs,0.5,"(100, 50)",0,0.8677685950413223,0.8846153846153846,0.8214285714285714,0.8518518518518519,0.8645604395604395,seed0_augmentation1.015.csv
lbfgs,0.5,"(250, 5)",0,0.8760330578512396,0.8867924528301887,0.8392857142857143,0.8623853211009174,0.8734890109890109,seed0_augmentation1.015.csv
lbfgs,0.5,"(250, 10)",0,0.8842975206611571,0.903846153846154,0.8392857142857143,0.8703703703703703,0.8811813186813188,seed0_augmentation1.015.csv
lbfgs,0.5,"(250, 20)",0,0.8925619834710744,0.9056603773584906,0.8571428571428571,0.8807339449541285,0.8901098901098902,seed0_augmentation1.015.csv
lbfgs,0.5,"(250, 50)",0,0.8512396694214877,0.88,0.7857142857142857,0.8301886792452831,0.8467032967032966,seed0_augmentation1.015.csv
lbfgs,0.5,"(500, 5)",0,0.8842975206611571,0.8888888888888888,0.8571428571428571,0.8727272727272727,0.8824175824175824,seed0_augmentation1.015.csv
lbfgs,0.5,"(500, 10)",0,0.9008264462809916,0.9074074074074074,0.875,0.8909090909090909,0.8990384615384616,seed0_augmentation1.015.csv
lbfgs,0.5,"(500, 20)",0,0.8677685950413223,0.8846153846153846,0.8214285714285714,0.8518518518518519,0.8645604395604395,seed0_augmentation1.015.csv
lbfgs,0.5,"(500, 50)",0,0.8760330578512396,0.9019607843137256,0.8214285714285714,0.8598130841121495,0.8722527472527473,seed0_augmentation1.015.csv
lbfgs,0.1,10,0,0.8842975206611571,0.92,0.8214285714285714,0.8679245283018867,0.8799450549450549,seed0_augmentation1.02.csv
lbfgs,0.1,20,0,0.8842975206611571,0.903846153846154,0.8392857142857143,0.8703703703703703,0.8811813186813188,seed0_augmentation1.02.csv
lbfgs,0.1,30,0,0.8760330578512396,0.9019607843137256,0.8214285714285714,0.8598130841121495,0.8722527472527473,seed0_augmentation1.02.csv
lbfgs,0.1,40,0,0.8842975206611571,0.903846153846154,0.8392857142857143,0.8703703703703703,0.8811813186813188,seed0_augmentation1.02.csv
lbfgs,0.1,50,0,0.8842975206611571,0.92,0.8214285714285714,0.8679245283018867,0.8799450549450549,seed0_augmentation1.02.csv
lbfgs,0.1,60,0,0.8842975206611571,0.903846153846154,0.8392857142857143,0.8703703703703703,0.8811813186813188,seed0_augmentation1.02.csv
lbfgs,0.1,70,0,0.8760330578512396,0.9019607843137256,0.8214285714285714,0.8598130841121495,0.8722527472527473,seed0_augmentation1.02.csv
lbfgs,0.1,80,0,0.8842975206611571,0.903846153846154,0.8392857142857143,0.8703703703703703,0.8811813186813188,seed0_augmentation1.02.csv
lbfgs,0.1,90,0,0.8760330578512396,0.8867924528301887,0.8392857142857143,0.8623853211009174,0.8734890109890109,seed0_augmentation1.02.csv
lbfgs,0.1,100,0,0.8760330578512396,0.9019607843137256,0.8214285714285714,0.8598130841121495,0.8722527472527473,seed0_augmentation1.02.csv
lbfgs,0.1,150,0,0.8677685950413223,0.8846153846153846,0.8214285714285714,0.8518518518518519,0.8645604395604395,seed0_augmentation1.02.csv
lbfgs,0.1,200,0,0.8760330578512396,0.8867924528301887,0.8392857142857143,0.8623853211009174,0.8734890109890109,seed0_augmentation1.02.csv
lbfgs,0.1,250,0,0.8760330578512396,0.9019607843137256,0.8214285714285714,0.8598130841121495,0.8722527472527473,seed0_augmentation1.02.csv
lbfgs,0.1,300,0,0.8842975206611571,0.8888888888888888,0.8571428571428571,0.8727272727272727,0.8824175824175824,seed0_augmentation1.02.csv
lbfgs,0.1,350,0,0.8842975206611571,0.8888888888888888,0.8571428571428571,0.8727272727272727,0.8824175824175824,seed0_augmentation1.02.csv
lbfgs,0.1,400,0,0.8760330578512396,0.9019607843137256,0.8214285714285714,0.8598130841121495,0.8722527472527473,seed0_augmentation1.02.csv
lbfgs,0.1,450,0,0.8760330578512396,0.9019607843137256,0.8214285714285714,0.8598130841121495,0.8722527472527473,seed0_augmentation1.02.csv
lbfgs,0.1,500,0,0.8760330578512396,0.9019607843137256,0.8214285714285714,0.8598130841121495,0.8722527472527473,seed0_augmentation1.02.csv
lbfgs,0.1,"(50, 5)",0,0.8760330578512396,0.9019607843137256,0.8214285714285714,0.8598130841121495,0.8722527472527473,seed0_augmentation1.02.csv
lbfgs,0.1,"(50, 10)",0,0.8842975206611571,0.9375,0.8035714285714286,0.8653846153846154,0.8787087912087912,seed0_augmentation1.02.csv
lbfgs,0.1,"(50, 20)",0,0.8925619834710744,0.9056603773584906,0.8571428571428571,0.8807339449541285,0.8901098901098902,seed0_augmentation1.02.csv
lbfgs,0.1,"(50, 50)",0,0.8842975206611571,0.903846153846154,0.8392857142857143,0.8703703703703703,0.8811813186813188,seed0_augmentation1.02.csv
lbfgs,0.1,"(100, 5)",0,0.8595041322314051,0.8421052631578947,0.8571428571428571,0.8495575221238938,0.8593406593406594,seed0_augmentation1.02.csv
lbfgs,0.1,"(100, 10)",0,0.9008264462809916,0.9074074074074074,0.875,0.8909090909090909,0.8990384615384616,seed0_augmentation1.02.csv
lbfgs,0.1,"(100, 20)",0,0.9090909090909092,0.9245283018867924,0.875,0.8990825688073395,0.9067307692307692,seed0_augmentation1.02.csv
lbfgs,0.1,"(100, 50)",0,0.8760330578512396,0.8867924528301887,0.8392857142857143,0.8623853211009174,0.8734890109890109,seed0_augmentation1.02.csv
lbfgs,0.1,"(250, 5)",0,0.8842975206611571,0.903846153846154,0.8392857142857143,0.8703703703703703,0.8811813186813188,seed0_augmentation1.02.csv
lbfgs,0.1,"(250, 10)",0,0.9008264462809916,0.9230769230769232,0.8571428571428571,0.8888888888888891,0.8978021978021978,seed0_augmentation1.02.csv
lbfgs,0.1,"(250, 20)",0,0.8925619834710744,0.8909090909090909,0.875,0.8828828828828829,0.8913461538461538,seed0_augmentation1.02.csv
lbfgs,0.1,"(250, 50)",0,0.9008264462809916,0.9074074074074074,0.875,0.8909090909090909,0.8990384615384616,seed0_augmentation1.02.csv
lbfgs,0.1,"(500, 5)",0,0.8842975206611571,0.8888888888888888,0.8571428571428571,0.8727272727272727,0.8824175824175824,seed0_augmentation1.02.csv
lbfgs,0.1,"(500, 10)",0,0.9008264462809916,0.9230769230769232,0.8571428571428571,0.8888888888888891,0.8978021978021978,seed0_augmentation1.02.csv
lbfgs,0.1,"(500, 20)",0,0.8842975206611571,0.8888888888888888,0.8571428571428571,0.8727272727272727,0.8824175824175824,seed0_augmentation1.02.csv
lbfgs,0.1,"(500, 50)",0,0.8760330578512396,0.9019607843137256,0.8214285714285714,0.8598130841121495,0.8722527472527473,seed0_augmentation1.02.csv
lbfgs,0.25,10,0,0.8925619834710744,0.9056603773584906,0.8571428571428571,0.8807339449541285,0.8901098901098902,seed0_augmentation1.02.csv
lbfgs,0.25,20,0,0.8760330578512396,0.9019607843137256,0.8214285714285714,0.8598130841121495,0.8722527472527473,seed0_augmentation1.02.csv
lbfgs,0.25,30,0,0.8842975206611571,0.8888888888888888,0.8571428571428571,0.8727272727272727,0.8824175824175824,seed0_augmentation1.02.csv
lbfgs,0.25,40,0,0.8760330578512396,0.8867924528301887,0.8392857142857143,0.8623853211009174,0.8734890109890109,seed0_augmentation1.02.csv
lbfgs,0.25,50,0,0.8842975206611571,0.903846153846154,0.8392857142857143,0.8703703703703703,0.8811813186813188,seed0_augmentation1.02.csv
lbfgs,0.25,60,0,0.8842975206611571,0.903846153846154,0.8392857142857143,0.8703703703703703,0.8811813186813188,seed0_augmentation1.02.csv
lbfgs,0.25,70,0,0.8842975206611571,0.903846153846154,0.8392857142857143,0.8703703703703703,0.8811813186813188,seed0_augmentation1.02.csv
lbfgs,0.25,80,0,0.8760330578512396,0.9019607843137256,0.8214285714285714,0.8598130841121495,0.8722527472527473,seed0_augmentation1.02.csv
lbfgs,0.25,90,0,0.8760330578512396,0.8867924528301887,0.8392857142857143,0.8623853211009174,0.8734890109890109,seed0_augmentation1.02.csv
lbfgs,0.25,100,0,0.8677685950413223,0.8846153846153846,0.8214285714285714,0.8518518518518519,0.8645604395604395,seed0_augmentation1.02.csv
lbfgs,0.25,150,0,0.8842975206611571,0.903846153846154,0.8392857142857143,0.8703703703703703,0.8811813186813188,seed0_augmentation1.02.csv
lbfgs,0.25,200,0,0.8842975206611571,0.903846153846154,0.8392857142857143,0.8703703703703703,0.8811813186813188,seed0_augmentation1.02.csv
lbfgs,0.25,250,0,0.9008264462809916,0.9230769230769232,0.8571428571428571,0.8888888888888891,0.8978021978021978,seed0_augmentation1.02.csv
lbfgs,0.25,300,0,0.8760330578512396,0.8867924528301887,0.8392857142857143,0.8623853211009174,0.8734890109890109,seed0_augmentation1.02.csv
lbfgs,0.25,350,0,0.8760330578512396,0.8867924528301887,0.8392857142857143,0.8623853211009174,0.8734890109890109,seed0_augmentation1.02.csv
lbfgs,0.25,400,0,0.8677685950413223,0.8846153846153846,0.8214285714285714,0.8518518518518519,0.8645604395604395,seed0_augmentation1.02.csv
lbfgs,0.25,450,0,0.8677685950413223,0.8846153846153846,0.8214285714285714,0.8518518518518519,0.8645604395604395,seed0_augmentation1.02.csv
lbfgs,0.25,500,0,0.8842975206611571,0.903846153846154,0.8392857142857143,0.8703703703703703,0.8811813186813188,seed0_augmentation1.02.csv
lbfgs,0.25,"(50, 5)",0,0.8842975206611571,0.903846153846154,0.8392857142857143,0.8703703703703703,0.8811813186813188,seed0_augmentation1.02.csv
lbfgs,0.25,"(50, 10)",0,0.8925619834710744,0.9215686274509804,0.8392857142857143,0.8785046728971961,0.8888736263736264,seed0_augmentation1.02.csv
lbfgs,0.25,"(50, 20)",0,0.8925619834710744,0.9215686274509804,0.8392857142857143,0.8785046728971961,0.8888736263736264,seed0_augmentation1.02.csv
lbfgs,0.25,"(50, 50)",0,0.8760330578512396,0.8867924528301887,0.8392857142857143,0.8623853211009174,0.8734890109890109,seed0_augmentation1.02.csv
lbfgs,0.25,"(100, 5)",0,0.8595041322314051,0.8421052631578947,0.8571428571428571,0.8495575221238938,0.8593406593406594,seed0_augmentation1.02.csv
lbfgs,0.25,"(100, 10)",0,0.8925619834710744,0.8909090909090909,0.875,0.8828828828828829,0.8913461538461538,seed0_augmentation1.02.csv
lbfgs,0.25,"(100, 20)",0,0.8512396694214877,0.88,0.7857142857142857,0.8301886792452831,0.8467032967032966,seed0_augmentation1.02.csv
lbfgs,0.25,"(100, 50)",0,0.8595041322314051,0.8979591836734694,0.7857142857142857,0.8380952380952379,0.8543956043956044,seed0_augmentation1.02.csv
lbfgs,0.25,"(250, 5)",0,0.8842975206611571,0.903846153846154,0.8392857142857143,0.8703703703703703,0.8811813186813188,seed0_augmentation1.02.csv
lbfgs,0.25,"(250, 10)",0,0.8677685950413223,0.8846153846153846,0.8214285714285714,0.8518518518518519,0.8645604395604395,seed0_augmentation1.02.csv
lbfgs,0.25,"(250, 20)",0,0.8842975206611571,0.903846153846154,0.8392857142857143,0.8703703703703703,0.8811813186813188,seed0_augmentation1.02.csv
lbfgs,0.25,"(250, 50)",0,0.8842975206611571,0.92,0.8214285714285714,0.8679245283018867,0.8799450549450549,seed0_augmentation1.02.csv
lbfgs,0.25,"(500, 5)",0,0.8677685950413223,0.8846153846153846,0.8214285714285714,0.8518518518518519,0.8645604395604395,seed0_augmentation1.02.csv
lbfgs,0.25,"(500, 10)",0,0.8760330578512396,0.9019607843137256,0.8214285714285714,0.8598130841121495,0.8722527472527473,seed0_augmentation1.02.csv
lbfgs,0.25,"(500, 20)",0,0.8760330578512396,0.9019607843137256,0.8214285714285714,0.8598130841121495,0.8722527472527473,seed0_augmentation1.02.csv
lbfgs,0.25,"(500, 50)",0,0.8925619834710744,0.9056603773584906,0.8571428571428571,0.8807339449541285,0.8901098901098902,seed0_augmentation1.02.csv
lbfgs,0.5,10,0,0.9008264462809916,0.9230769230769232,0.8571428571428571,0.8888888888888891,0.8978021978021978,seed0_augmentation1.02.csv
lbfgs,0.5,20,0,0.8842975206611571,0.903846153846154,0.8392857142857143,0.8703703703703703,0.8811813186813188,seed0_augmentation1.02.csv
lbfgs,0.5,30,0,0.8925619834710744,0.9056603773584906,0.8571428571428571,0.8807339449541285,0.8901098901098902,seed0_augmentation1.02.csv
lbfgs,0.5,40,0,0.9008264462809916,0.9074074074074074,0.875,0.8909090909090909,0.8990384615384616,seed0_augmentation1.02.csv
lbfgs,0.5,50,0,0.9008264462809916,0.9074074074074074,0.875,0.8909090909090909,0.8990384615384616,seed0_augmentation1.02.csv
lbfgs,0.5,60,0,0.8842975206611571,0.903846153846154,0.8392857142857143,0.8703703703703703,0.8811813186813188,seed0_augmentation1.02.csv
lbfgs,0.5,70,0,0.8842975206611571,0.903846153846154,0.8392857142857143,0.8703703703703703,0.8811813186813188,seed0_augmentation1.02.csv
lbfgs,0.5,80,0,0.8842975206611571,0.8888888888888888,0.8571428571428571,0.8727272727272727,0.8824175824175824,seed0_augmentation1.02.csv
lbfgs,0.5,90,0,0.8842975206611571,0.903846153846154,0.8392857142857143,0.8703703703703703,0.8811813186813188,seed0_augmentation1.02.csv
lbfgs,0.5,100,0,0.8677685950413223,0.8846153846153846,0.8214285714285714,0.8518518518518519,0.8645604395604395,seed0_augmentation1.02.csv
lbfgs,0.5,150,0,0.8842975206611571,0.903846153846154,0.8392857142857143,0.8703703703703703,0.8811813186813188,seed0_augmentation1.02.csv
lbfgs,0.5,200,0,0.8842975206611571,0.903846153846154,0.8392857142857143,0.8703703703703703,0.8811813186813188,seed0_augmentation1.02.csv
lbfgs,0.5,250,0,0.8925619834710744,0.9056603773584906,0.8571428571428571,0.8807339449541285,0.8901098901098902,seed0_augmentation1.02.csv
lbfgs,0.5,300,0,0.8760330578512396,0.8867924528301887,0.8392857142857143,0.8623853211009174,0.8734890109890109,seed0_augmentation1.02.csv
lbfgs,0.5,350,0,0.8760330578512396,0.9019607843137256,0.8214285714285714,0.8598130841121495,0.8722527472527473,seed0_augmentation1.02.csv
lbfgs,0.5,400,0,0.8760330578512396,0.9019607843137256,0.8214285714285714,0.8598130841121495,0.8722527472527473,seed0_augmentation1.02.csv
lbfgs,0.5,450,0,0.8677685950413223,0.8846153846153846,0.8214285714285714,0.8518518518518519,0.8645604395604395,seed0_augmentation1.02.csv
lbfgs,0.5,500,0,0.8760330578512396,0.9019607843137256,0.8214285714285714,0.8598130841121495,0.8722527472527473,seed0_augmentation1.02.csv
lbfgs,0.5,"(50, 5)",0,0.8760330578512396,0.8867924528301887,0.8392857142857143,0.8623853211009174,0.8734890109890109,seed0_augmentation1.02.csv
lbfgs,0.5,"(50, 10)",0,0.8842975206611571,0.92,0.8214285714285714,0.8679245283018867,0.8799450549450549,seed0_augmentation1.02.csv
lbfgs,0.5,"(50, 20)",0,0.8595041322314051,0.8679245283018868,0.8214285714285714,0.8440366972477065,0.8568681318681317,seed0_augmentation1.02.csv
lbfgs,0.5,"(50, 50)",0,0.8925619834710744,0.9056603773584906,0.8571428571428571,0.8807339449541285,0.8901098901098902,seed0_augmentation1.02.csv
lbfgs,0.5,"(100, 5)",0,0.8595041322314051,0.8421052631578947,0.8571428571428571,0.8495575221238938,0.8593406593406594,seed0_augmentation1.02.csv
lbfgs,0.5,"(100, 10)",0,0.8677685950413223,0.8846153846153846,0.8214285714285714,0.8518518518518519,0.8645604395604395,seed0_augmentation1.02.csv
lbfgs,0.5,"(100, 20)",0,0.8842975206611571,0.903846153846154,0.8392857142857143,0.8703703703703703,0.8811813186813188,seed0_augmentation1.02.csv
lbfgs,0.5,"(100, 50)",0,0.9090909090909092,0.9245283018867924,0.875,0.8990825688073395,0.9067307692307692,seed0_augmentation1.02.csv
lbfgs,0.5,"(250, 5)",0,0.8677685950413223,0.9,0.8035714285714286,0.8490566037735849,0.8633241758241759,seed0_augmentation1.02.csv
lbfgs,0.5,"(250, 10)",0,0.8842975206611571,0.8888888888888888,0.8571428571428571,0.8727272727272727,0.8824175824175824,seed0_augmentation1.02.csv
lbfgs,0.5,"(250, 20)",0,0.8760330578512396,0.8867924528301887,0.8392857142857143,0.8623853211009174,0.8734890109890109,seed0_augmentation1.02.csv
lbfgs,0.5,"(250, 50)",0,0.8842975206611571,0.903846153846154,0.8392857142857143,0.8703703703703703,0.8811813186813188,seed0_augmentation1.02.csv
lbfgs,0.5,"(500, 5)",0,0.8677685950413223,0.9,0.8035714285714286,0.8490566037735849,0.8633241758241759,seed0_augmentation1.02.csv
lbfgs,0.5,"(500, 10)",0,0.9008264462809916,0.9230769230769232,0.8571428571428571,0.8888888888888891,0.8978021978021978,seed0_augmentation1.02.csv
lbfgs,0.5,"(500, 20)",0,0.8760330578512396,0.8727272727272727,0.8571428571428571,0.8648648648648648,0.8747252747252747,seed0_augmentation1.02.csv
lbfgs,0.5,"(500, 50)",0,0.8677685950413223,0.8703703703703703,0.8392857142857143,0.8545454545454546,0.8657967032967033,seed0_augmentation1.02.csv
lbfgs,0.1,10,0,0.8760330578512396,0.9019607843137256,0.8214285714285714,0.8598130841121495,0.8722527472527473,seed0_augmentation1.025.csv
lbfgs,0.1,20,0,0.8842975206611571,0.903846153846154,0.8392857142857143,0.8703703703703703,0.8811813186813188,seed0_augmentation1.025.csv
lbfgs,0.1,30,0,0.8842975206611571,0.903846153846154,0.8392857142857143,0.8703703703703703,0.8811813186813188,seed0_augmentation1.025.csv
lbfgs,0.1,40,0,0.8925619834710744,0.9056603773584906,0.8571428571428571,0.8807339449541285,0.8901098901098902,seed0_augmentation1.025.csv
lbfgs,0.1,50,0,0.8842975206611571,0.903846153846154,0.8392857142857143,0.8703703703703703,0.8811813186813188,seed0_augmentation1.025.csv
lbfgs,0.1,60,0,0.8677685950413223,0.8846153846153846,0.8214285714285714,0.8518518518518519,0.8645604395604395,seed0_augmentation1.025.csv
lbfgs,0.1,70,0,0.8760330578512396,0.9019607843137256,0.8214285714285714,0.8598130841121495,0.8722527472527473,seed0_augmentation1.025.csv
lbfgs,0.1,80,0,0.8677685950413223,0.8846153846153846,0.8214285714285714,0.8518518518518519,0.8645604395604395,seed0_augmentation1.025.csv
lbfgs,0.1,90,0,0.8925619834710744,0.9215686274509804,0.8392857142857143,0.8785046728971961,0.8888736263736264,seed0_augmentation1.025.csv
lbfgs,0.1,100,0,0.8595041322314051,0.8679245283018868,0.8214285714285714,0.8440366972477065,0.8568681318681317,seed0_augmentation1.025.csv
lbfgs,0.1,150,0,0.8842975206611571,0.903846153846154,0.8392857142857143,0.8703703703703703,0.8811813186813188,seed0_augmentation1.025.csv
lbfgs,0.1,200,0,0.8842975206611571,0.903846153846154,0.8392857142857143,0.8703703703703703,0.8811813186813188,seed0_augmentation1.025.csv
lbfgs,0.1,250,0,0.8760330578512396,0.9019607843137256,0.8214285714285714,0.8598130841121495,0.8722527472527473,seed0_augmentation1.025.csv
lbfgs,0.1,300,0,0.8677685950413223,0.8846153846153846,0.8214285714285714,0.8518518518518519,0.8645604395604395,seed0_augmentation1.025.csv
lbfgs,0.1,350,0,0.8925619834710744,0.9056603773584906,0.8571428571428571,0.8807339449541285,0.8901098901098902,seed0_augmentation1.025.csv
lbfgs,0.1,400,0,0.8842975206611571,0.903846153846154,0.8392857142857143,0.8703703703703703,0.8811813186813188,seed0_augmentation1.025.csv
lbfgs,0.1,450,0,0.8677685950413223,0.8846153846153846,0.8214285714285714,0.8518518518518519,0.8645604395604395,seed0_augmentation1.025.csv
lbfgs,0.1,500,0,0.8842975206611571,0.903846153846154,0.8392857142857143,0.8703703703703703,0.8811813186813188,seed0_augmentation1.025.csv
lbfgs,0.1,"(50, 5)",0,0.8760330578512396,0.9019607843137256,0.8214285714285714,0.8598130841121495,0.8722527472527473,seed0_augmentation1.025.csv
lbfgs,0.1,"(50, 10)",0,0.8925619834710744,0.9215686274509804,0.8392857142857143,0.8785046728971961,0.8888736263736264,seed0_augmentation1.025.csv
lbfgs,0.1,"(50, 20)",0,0.8842975206611571,0.92,0.8214285714285714,0.8679245283018867,0.8799450549450549,seed0_augmentation1.025.csv
lbfgs,0.1,"(50, 50)",0,0.8760330578512396,0.8867924528301887,0.8392857142857143,0.8623853211009174,0.8734890109890109,seed0_augmentation1.025.csv
lbfgs,0.1,"(100, 5)",0,0.8760330578512396,0.8727272727272727,0.8571428571428571,0.8648648648648648,0.8747252747252747,seed0_augmentation1.025.csv
lbfgs,0.1,"(100, 10)",0,0.8842975206611571,0.903846153846154,0.8392857142857143,0.8703703703703703,0.8811813186813188,seed0_augmentation1.025.csv
lbfgs,0.1,"(100, 20)",0,0.8595041322314051,0.8679245283018868,0.8214285714285714,0.8440366972477065,0.8568681318681317,seed0_augmentation1.025.csv
lbfgs,0.1,"(100, 50)",0,0.8760330578512396,0.9019607843137256,0.8214285714285714,0.8598130841121495,0.8722527472527473,seed0_augmentation1.025.csv
lbfgs,0.1,"(250, 5)",0,0.8842975206611571,0.903846153846154,0.8392857142857143,0.8703703703703703,0.8811813186813188,seed0_augmentation1.025.csv
lbfgs,0.1,"(250, 10)",0,0.8760330578512396,0.8867924528301887,0.8392857142857143,0.8623853211009174,0.8734890109890109,seed0_augmentation1.025.csv
lbfgs,0.1,"(250, 20)",0,0.8925619834710744,0.9056603773584906,0.8571428571428571,0.8807339449541285,0.8901098901098902,seed0_augmentation1.025.csv
lbfgs,0.1,"(250, 50)",0,0.8842975206611571,0.8888888888888888,0.8571428571428571,0.8727272727272727,0.8824175824175824,seed0_augmentation1.025.csv
lbfgs,0.1,"(500, 5)",0,0.8677685950413223,0.9,0.8035714285714286,0.8490566037735849,0.8633241758241759,seed0_augmentation1.025.csv
lbfgs,0.1,"(500, 10)",0,0.8925619834710744,0.9056603773584906,0.8571428571428571,0.8807339449541285,0.8901098901098902,seed0_augmentation1.025.csv
lbfgs,0.1,"(500, 20)",0,0.8677685950413223,0.8846153846153846,0.8214285714285714,0.8518518518518519,0.8645604395604395,seed0_augmentation1.025.csv
lbfgs,0.1,"(500, 50)",0,0.8760330578512396,0.9183673469387756,0.8035714285714286,0.8571428571428571,0.8710164835164835,seed0_augmentation1.025.csv
lbfgs,0.25,10,0,0.8760330578512396,0.9183673469387756,0.8035714285714286,0.8571428571428571,0.8710164835164835,seed0_augmentation1.025.csv
lbfgs,0.25,20,0,0.8760330578512396,0.9019607843137256,0.8214285714285714,0.8598130841121495,0.8722527472527473,seed0_augmentation1.025.csv
lbfgs,0.25,30,0,0.8842975206611571,0.903846153846154,0.8392857142857143,0.8703703703703703,0.8811813186813188,seed0_augmentation1.025.csv
lbfgs,0.25,40,0,0.8842975206611571,0.8888888888888888,0.8571428571428571,0.8727272727272727,0.8824175824175824,seed0_augmentation1.025.csv
lbfgs,0.25,50,0,0.8760330578512396,0.9019607843137256,0.8214285714285714,0.8598130841121495,0.8722527472527473,seed0_augmentation1.025.csv
lbfgs,0.25,60,0,0.8677685950413223,0.8846153846153846,0.8214285714285714,0.8518518518518519,0.8645604395604395,seed0_augmentation1.025.csv
lbfgs,0.25,70,0,0.9008264462809916,0.9230769230769232,0.8571428571428571,0.8888888888888891,0.8978021978021978,seed0_augmentation1.025.csv
lbfgs,0.25,80,0,0.8760330578512396,0.9019607843137256,0.8214285714285714,0.8598130841121495,0.8722527472527473,seed0_augmentation1.025.csv
lbfgs,0.25,90,0,0.8760330578512396,0.8867924528301887,0.8392857142857143,0.8623853211009174,0.8734890109890109,seed0_augmentation1.025.csv
lbfgs,0.25,100,0,0.8677685950413223,0.8846153846153846,0.8214285714285714,0.8518518518518519,0.8645604395604395,seed0_augmentation1.025.csv
lbfgs,0.25,150,0,0.8842975206611571,0.8888888888888888,0.8571428571428571,0.8727272727272727,0.8824175824175824,seed0_augmentation1.025.csv
lbfgs,0.25,200,0,0.8760330578512396,0.8867924528301887,0.8392857142857143,0.8623853211009174,0.8734890109890109,seed0_augmentation1.025.csv
lbfgs,0.25,250,0,0.8677685950413223,0.8846153846153846,0.8214285714285714,0.8518518518518519,0.8645604395604395,seed0_augmentation1.025.csv
lbfgs,0.25,300,0,0.8760330578512396,0.8867924528301887,0.8392857142857143,0.8623853211009174,0.8734890109890109,seed0_augmentation1.025.csv
lbfgs,0.25,350,0,0.8760330578512396,0.8867924528301887,0.8392857142857143,0.8623853211009174,0.8734890109890109,seed0_augmentation1.025.csv
lbfgs,0.25,400,0,0.8842975206611571,0.903846153846154,0.8392857142857143,0.8703703703703703,0.8811813186813188,seed0_augmentation1.025.csv
lbfgs,0.25,450,0,0.8842975206611571,0.8888888888888888,0.8571428571428571,0.8727272727272727,0.8824175824175824,seed0_augmentation1.025.csv
lbfgs,0.25,500,0,0.8842975206611571,0.8888888888888888,0.8571428571428571,0.8727272727272727,0.8824175824175824,seed0_augmentation1.025.csv
lbfgs,0.25,"(50, 5)",0,0.8842975206611571,0.8888888888888888,0.8571428571428571,0.8727272727272727,0.8824175824175824,seed0_augmentation1.025.csv
lbfgs,0.25,"(50, 10)",0,0.8842975206611571,0.92,0.8214285714285714,0.8679245283018867,0.8799450549450549,seed0_augmentation1.025.csv
lbfgs,0.25,"(50, 20)",0,0.9008264462809916,0.9230769230769232,0.8571428571428571,0.8888888888888891,0.8978021978021978,seed0_augmentation1.025.csv
lbfgs,0.25,"(50, 50)",0,0.8925619834710744,0.9215686274509804,0.8392857142857143,0.8785046728971961,0.8888736263736264,seed0_augmentation1.025.csv
lbfgs,0.25,"(100, 5)",0,0.8760330578512396,0.9019607843137256,0.8214285714285714,0.8598130841121495,0.8722527472527473,seed0_augmentation1.025.csv
lbfgs,0.25,"(100, 10)",0,0.8760330578512396,0.9019607843137256,0.8214285714285714,0.8598130841121495,0.8722527472527473,seed0_augmentation1.025.csv
lbfgs,0.25,"(100, 20)",0,0.8842975206611571,0.8888888888888888,0.8571428571428571,0.8727272727272727,0.8824175824175824,seed0_augmentation1.025.csv
lbfgs,0.25,"(100, 50)",0,0.8677685950413223,0.8846153846153846,0.8214285714285714,0.8518518518518519,0.8645604395604395,seed0_augmentation1.025.csv
